In 100 Gramm	kcal	 kjoule	 BE	 KH (g)	 F (g)	 EW (g)
Tempeh, fermentiertes Soja (Wurstersatz, Achtung: Verschiedene Sorten haben bis über 10 Gramm KH / 100g)	181	761	0	1,5	10	20
Thunfisch (Konserve) in Öl	283	1178	0	0	20,9	23,8
Thunfisch (roh)	204	857	0	0	15,5	21,5
Tiefseegarnelen (Konserve)	94	398	0	0	1,2	20,8
Tilsiter, 30 % Fett in Trockenmasse	270	1124	0	0	17,2	28,7
Tilsiter, 40 % Fett in Trockenmasse	301	1250	0	0	22,3	25
Tilsiter, 45 % Fett in Trockenmasse	354	1472	0	0	27,7	26,3
Tiroler Graukäse, Steirerkas, Sauermilchkäse (laktosefrei)	141	593	0	0,5	0,5	32
Tonkabohnen, reif	446	1875	4	49,9	13,8	27
Trappisten-Käse, 45 % Fett in Trockenmasse	359	1470	0	0	27	25
Trockenhefe, Trocken-Hefe, Instanthefe, Backhefe, Bäckerhefe	244	1023	0	0	3.6	50
Türkischer Zopfkäse	336	1413	0	1,5	23,5	26,6
Vanille-Kipferl, Vanille-Hörnchen LowCarb (Weihnachtsgebäck, Lowcarbwelt)	533	2237	0	2	46	23
Victoria-Barsch, Viktoria-Barsch, Nil-Barsch (roh)	100	419	0	0	1,7	20
Vollmilchpulver, Trockenmilch	507	2129	3,5	38	26	26
Wachteln, mit Haut (roh)	110	466	0	0	2,3	22,4
Weinkäse (Weichkäse, 45 % Fett in Trockenmasse)	311	1306	0	0	23,5	22
Weizenkeime, Weizenkeimlinge	312	1313	3	30,6	9,2	26,6
Weizenkeim-Flocken	325	1361	2,5	30,8	9,2	26,9
Weizenkleber (Gluten, Klebereiweiß, Weizeneiweiß)	378	1589	0,5	5,8	2	80
Westfälischer Knochenschinken vom Schwein	239	1006	0	0	14	26
Wildschwein-Salami	340	1430	0	0	27,3	20,6
Wildschwein-Schinken	166	697	0	2,5	5	26
Ziegenkäse, Ziegenschnittkäse	368	1540	0	0	27	28
Ziegenkäse, Ziegenweichkäse	280	1164	0	0	21,8	21
